Product_ID,Product_Name,Warehouse,Supplier,Inventory,Forecasted_Demand,Lead_Time_Days,Shipping_Route,Risk_Level,Unit_Cost_USD,Transportation_Cost_USD
P001,Laptop,WH1,S001,150,200,7,Air-Route-A,Low,800,50
P002,Smartphone,WH2,S002,300,250,5,Sea-Route-B,Medium,500,30
P003,Tablet,WH1,S003,120,180,10,Air-Route-C,Low,300,40
P004,Headphones,WH3,S004,500,450,3,Land-Route-D,Low,50,10
P005,Monitor,WH2,S005,80,100,12,Sea-Route-E,High,150,60
P006,Keyboard,WH1,S001,200,220,4,Land-Route-F,Low,20,5
P007,Mouse,WH3,S002,250,270,4,Land-Route-D,Medium,15,3
P008,Printer,WH2,S003,50,70,15,Sea-Route-B,High,120,35
P009,Router,WH1,S004,100,120,7,Air-Route-C,Low,60,12
P010,SSD,WH3,S005,180,200,5,Air-Route-A,Medium,100,20
P011,GPU,WH1,S001,60,80,14,Sea-Route-E,High,400,70
P012,CPU,WH2,S002,90,110,10,Air-Route-C,Low,250,25
P013,Motherboard,WH3,S003,120,140,9,Sea-Route-B,Medium,180,30
P014,RAM,WH1,S004,200,220,6,Air-Route-A,Low,80,15
P015,HDD,WH2,S005,100,120,12,Sea-Route-E,Medium,60,20
P016,Webcam,WH3,S001,150,170,3,Land-Route-D,Low,40,8
P017,Speaker,WH1,S002,80,100,5,Air-Route-C,Medium,30,5
P018,Microphone,WH2,S003,60,80,4,Land-Route-F,Low,25,4
P019,Drone,WH3,S004,40,60,14,Air-Route-A,High,600,80
P020,Smartwatch,WH1,S005,120,150,7,Sea-Route-B,Medium,200,25
